Make,Model,Manufacturer,Type,Action,Class,Calibre,Shots,Barrel,Reg_date,Client,Pcode,Prov,Country,Lost,Stolen,Recovered,lossstolen_year
Ithaca,37,Ithaca,Non-restricted,Pump Action,Shotgun,"12 GA X 2 3/4""",4,660,05-11-03,Individual,V1,BC,Canada,,,"
",
Stevens,58,Savage,Non-restricted,Bolt Action,Shotgun,"12 GA X 2 3/4""",2,660,05-11-03,Individual,V3,BC,Canada,,,"
",
Remington,760 Gamemaster,Remington,Non-restricted,Pump Action,Rifle,30-06 SPRG,4,559,05-10-27,Individual,K0,ON,Canada,,,"
",
Benelli,M2 Field,Benelli,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""",3,610,05-10-27,Individual,29,SC,Outside Canada,,,"
",
Remington,870 Express Super Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3 1/2""",3,584,06-03-16,Individual,K9,ON,Canada,,,"
",
Winchester,67,,Non-restricted,Single Shot,Rifle,22,1,699,99-08-03,Individual,T5,AB,Canada,,,"
",
Ithaca,37,Ithaca,Non-restricted,Pump Action,Shotgun,"12 GA X 2 3/4""",4,762,04-12-22,Individual,V1,BC,Canada,,,"
",
Remington,Wingmaster,,Non-restricted,Pump Action,Shotgun,0.12,Multi-shots,> 470mm,02-12-26,Individual,R0,MB,Canada,,,"
",
Winchester,100,,Non-restricted,Semi-Automatic,Rifle,308win,Multi-shots,> 470mm,03-01-09,Individual,P0,ON,Canada,,,"
",
eatonia,senior,,Non-restricted,Bolt Action,Rifle,22,1,> 470mm,02-12-26,Individual,P0,ON,Canada,,,"
",
Brno,#3,,Non-restricted,Bolt Action,Rifle,22,Multi-shots,> 470mm,03-05-15,Individual,V5,BC,Canada,,,"
",
Lee-Enfield,No 1 MARK 3*,Enfield,Non-restricted,Bolt Action,Rifle,303 BRITISH                   ,10,640,06-07-20,Individual,A0,NF,Canada,,,"
",
Orbea,Smith & Wesson Military & Police Copy,Orbea Hermanos,Prohibited,Revolver,Handgun,32-20 WIN,6,109,05-11-10,Business,K9,ON,Canada,,,"
",
Savage,99 CD,Savage,Non-restricted,Lever Action,Rifle,308 WIN,4,559,01-09-05,Individual,V2,BC,Canada,,,"
",
Mossberg,500A                                                              ,Mossberg                                             ,Non-restricted,Pump Action,Shotgun,"12 GA X 3""                    ",4,711,00-05-03,Individual,J0,QC,Canada,,,"
",
Remington,870 Express Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",6,457,05-12-22,Individual,T9,AB,Canada,,,"
",
Remington,870 Express Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",6,457,06-02-16,Individual,T0,AB,Canada,,,"
",
